,,from,to,distance
65283442,65283457,65283442,65283457,34.800636
65283442,1769694179,65283442,1769694179,55.477129
65283457,65283442,65283457,65283442,34.800636
65283457,65309495,65283457,65309495,232.253434
65283505,6407460688,65283505,6407460688,37.155967
65283514,298938949,65283514,298938949,94.576946
65283514,298938951,65283514,298938951,40.735542
65283528,65289050,65283528,65289050,74.643544
65283528,298938962,65283528,298938962,181.20345
65283638,65290909,65283638,65290909,49.531664
65283652,65283656,65283652,65283656,92.582441
65283652,65314618,65283652,65314618,45.814289
65283656,9443918154,65283656,9443918154,136.531247
65283675,65286358,65283675,65286358,32.204789
65283675,1840603052,65283675,1840603052,3.602896
65283675,1844822941,65283675,1844822941,82.679885
65283688,8004217857,65283688,8004217857,21.921344
65283711,450407074,65283711,450407074,71.229038
65283737,65339108,65283737,65339108,68.189167
65283737,1461189695,65283737,1461189695,88.328004
65283764,65290263,65283764,65290263,74.552186
65283764,7540414857,65283764,7540414857,73.601371
65283857,6332029807,65283857,6332029807,11.02687
65283861,258958633,65283861,258958633,36.312739
65283861,5441148912,65283861,5441148912,22.600416
65283891,828411473,65283891,828411473,8.054468
65283891,7967152272,65283891,7967152272,5.458924
65283898,65297670,65283898,65297670,42.078103
65283898,1555295459,65283898,1555295459,70.670792
65283935,662020555,65283935,662020555,24.667782
65283986,4034101623,65283986,4034101623,182.879649
65283993,258922135,65283993,258922135,74.305835
65284000,65283986,65284000,65283986,120.988172
65284000,318255928,65284000,318255928,58.785769
65284066,286812796,65284066,286812796,76.680473
65284109,65368622,65284109,65368622,29.918983
65284109,4417238585,65284109,4417238585,8.291258
65284109,4417238586,65284109,4417238586,9.101528
65284110,4417241395,65284110,4417241395,17.435165
65284119,65301862,65284119,65301862,25.487619
65284119,259139942,65284119,259139942,91.645536
65284179,65284181,65284179,65284181,54.340545
65284181,65284542,65284181,65284542,53.963942
65284190,65346890,65284190,65346890,202.373379
65284271,65284273,65284271,65284273,11.255197
65284273,65284277,65284273,65284277,6.576203
65284273,3743685528,65284273,3743685528,4.576224
65284277,295487032,65284277,295487032,5.240448
65284277,7059349288,65284277,7059349288,48.496804
65284291,3722628620,65284291,3722628620,49.321936
65284325,3454073861,65284325,3454073861,26.448931
65284325,5040162341,65284325,5040162341,54.54573
65284336,3722628523,65284336,3722628523,89.006273
